# Date de création du Fichier: lun. 08 mars 2021 12:22:19 CET
#Fct	a	b	res	tps	mem
Rec	0	0	0	0	0
#Fct	a	b	res	tps	mem
Rec	0	10000	50005000	7	0
#Fct	a	b	res	tps	mem
Rec	0	20000	200010000	13	0
#Fct	a	b	res	tps	mem
Rec	0	30000	450015000	24	0
#Fct	a	b	res	tps	mem
Rec	0	40000	800020000	37	0
#Fct	a	b	res	tps	mem
Rec	0	50000	1250025000	42	0
#Fct	a	b	res	tps	mem
Rec	0	60000	1800030000	45	0
#Fct	a	b	res	tps	mem
Rec	0	70000	2450035000	61	0
#Fct	a	b	res	tps	mem
Rec	0	80000	3200040000	72	0
#Fct	a	b	res	tps	mem
Rec	0	90000	4050045000	79	0
#Fct	a	b	res	tps	mem
Rec	0	100000	705082704	87	0
