# Date de création du Fichier: lun. 08 mars 2021 12:22:19 CET
#Fct	a	b	res	tps	mem
Iter	0	0	0	0	0
#Fct	a	b	res	tps	mem
Iter	0	10000	50005000	15	0
#Fct	a	b	res	tps	mem
Iter	0	20000	200010000	26	0
#Fct	a	b	res	tps	mem
Iter	0	30000	450015000	44	0
#Fct	a	b	res	tps	mem
Iter	0	40000	800020000	41	0
#Fct	a	b	res	tps	mem
Iter	0	50000	1250025000	48	0
#Fct	a	b	res	tps	mem
Iter	0	60000	1800030000	86	0
#Fct	a	b	res	tps	mem
Iter	0	70000	2450035000	91	0
#Fct	a	b	res	tps	mem
Iter	0	80000	3200040000	103	0
#Fct	a	b	res	tps	mem
Iter	0	90000	4050045000	63	0
#Fct	a	b	res	tps	mem
Iter	0	100000	705082704	143	0
