# Date de création du Fichier: lun. 08 mars 2021 12:22:17 CET
#Fct	a	b	res	tps	mem
Rec	0	0	0	0	0
#Fct	a	b	res	tps	mem
Rec	0	10000	50005000	19	0
#Fct	a	b	res	tps	mem
Rec	0	20000	200010000	59	0
#Fct	a	b	res	tps	mem
Rec	0	30000	450015000	93	0
#Fct	a	b	res	tps	mem
Rec	0	40000	800020000	114	0
#Fct	a	b	res	tps	mem
Rec	0	50000	1250025000	141	0
#Fct	a	b	res	tps	mem
Rec	0	60000	1800030000	142	0
#Fct	a	b	res	tps	mem
Rec	0	70000	2450035000	150	0
#Fct	a	b	res	tps	mem
Rec	0	80000	3200040000	228	0
#Fct	a	b	res	tps	mem
Rec	0	90000	4050045000	156	0
#Fct	a	b	res	tps	mem
Rec	0	100000	705082704	271	0
