# Date de création du Fichier: lun. 08 mars 2021 12:22:15 CET
#Fct	a	b	res	tps	mem
Iter	0	0	0	0	0
#Fct	a	b	res	tps	mem
Iter	0	10000	50005000	19	0
#Fct	a	b	res	tps	mem
Iter	0	20000	200010000	57	0
#Fct	a	b	res	tps	mem
Iter	0	30000	450015000	82	0
#Fct	a	b	res	tps	mem
Iter	0	40000	800020000	113	0
#Fct	a	b	res	tps	mem
Iter	0	50000	1250025000	105	0
#Fct	a	b	res	tps	mem
Iter	0	60000	1800030000	164	0
#Fct	a	b	res	tps	mem
Iter	0	70000	2450035000	192	0
#Fct	a	b	res	tps	mem
Iter	0	80000	3200040000	110	0
#Fct	a	b	res	tps	mem
Iter	0	90000	4050045000	189	0
#Fct	a	b	res	tps	mem
Iter	0	100000	705082704	260	0
